geneNames	GEO111089891	GEO111200291	GEO111200292	GEO111200293	GEO111200294	GEO111200295	GEO111200296	GEO111200297	GEO111200298	GEO111200299	GEO111200300	GEO111200301	GEO111200302	GEO111200303	GEO111200304	GEO111200305	GEO111200306	GEO111200307	GEO111200308	GEO111200309	GEO111200310	GEO111200311	GEO111200312	GEO111200313	GEO111200314	GEO111200315	GEO111200316	GEO111251551	GEO111251552	GEO111251553	GEO111251554	GEO111251555	GEO111251556	GEO111251557	GEO111251558	GEO111251559	GEO111251560	GEO11350411	GEO11350412	GEO11350413	GEO11350414	GEO11350415	GEO11350416	GEO11350417	GEO11350418	GEO11350419	GEO11350420	GEO11350421	GEO11350422	GEO11350423	GEO11350424	GEO11350425
SPARCL1	4.549384862	4.025117156	3.37452691	3.459947011	3.292938364	3.39668085	3.26706073	3.26637994	3.533157551	3.72687254	2.810963517	3.340958435	3.083165871	3.158839129	3.465901265	3.407463493	3.486842438	2.845817763	3.274964345	3.146236363	3.228851884	3.491120477	3.437737406	3.016510213	3.339164649	3.109298558	3.356487557	3.363406622	10.40910305	10.67321075	8.621473787	7.978586321	10.70867819	9.307022799	10.45433089	6.881856076	7.678360712	8.112143968	8.783591087	9.240405123	10.10900678	9.06628906	8.849554502	11.1226037	9.281177111	8.742117527	9.34148646	8.069041492	10.04253078	10.86529683	9.701747856	9.668236874
EFNB2	4.414194017	3.843843871	4.327528911	4.454745124	4.275330554	4.274263076	4.324209157	4.246259264	4.358715712	4.197803692	4.189693526	4.270041102	4.574188612	4.266324558	4.450786291	4.651378205	4.374455021	4.309111563	4.388689744	4.818013545	4.367353879	4.318605364	4.082587284	4.260293253	4.188408939	4.207902432	4.277857544	4.472996352	9.105172974	8.923469067	7.566859074	10.01389246	8.291159991	9.32408101	8.876926264	8.472138991	8.082260044	7.288339517	9.407220202	8.891748905	9.373295607	7.539119671	7.799162977	9.282207837	7.94695206	10.71046264	8.960091503	9.012019369	8.500022736	7.396307304	8.851162746	8.072994745
APOBEC3C	7.85070538	7.700127319	7.806618082	8.095753833	7.680759192	8.114833813	7.947212965	7.923170474	7.940295219	7.848192189	8.334026837	8.413725607	8.622505401	7.933403011	8.673045022	7.919111895	8.81106356	8.794435142	8.423138778	8.46719848	8.627749985	8.164892096	7.925173547	7.776326978	7.948195778	7.848773862	7.793522414	7.452326225	6.300837212	6.236458779	6.51543688	5.916391356	6.697429608	6.050870229	6.156799371	6.615936483	6.574816131	6.981050535	6.478156172	6.850864636	6.76407334	6.105020845	6.111542092	6.700956601	6.537146245	6.863363004	7.028090056	6.165857473	6.405371612	6.746378757	6.535303786	6.223150541
AIP	8.41172277	8.379448771	8.357652871	8.358574356	8.483862869	8.34282068	8.584525182	8.561898737	8.157106742	8.146368956	8.648395671	8.684838689	8.567493408	8.622531958	8.831526458	8.719135208	8.668527173	8.507294172	8.556627461	8.441415385	8.553651991	8.53995687	8.488841115	8.603593467	8.783790984	8.636140951	8.295320791	8.317871964	6.750292053	6.598705283	7.02444787	7.508771422	6.845545175	6.751011185	7.909802515	7.342352772	6.469532949	6.541791317	6.902537823	6.664205984	6.939881363	6.868408073	6.619511944	6.99766662	7.153323548	7.474159111	6.921605347	7.145611276	7.06577867	7.292429849	7.096868327	7.040475238
TXNIP	11.55972796	11.45217301	11.79364406	12.18425358	12.35500315	11.51758652	11.65090278	12.26514777	12.45869254	12.43953144	11.74273542	11.75100198	11.73895228	11.81529608	12.03769578	12.31600553	12.13949547	12.18696938	12.01686268	12.01532058	11.96948912	12.01535915	12.29501148	12.21902882	12.27404435	11.90609535	11.35142832	11.87419497	10.52899575	10.38768763	9.891454979	8.741034463	9.582077277	9.779193186	9.996675955	8.478658915	9.008724193	8.62311145	8.804821747	9.552978448	9.469274966	9.39487188	9.318361838	9.638373783	10.32285913	9.206827049	9.771813101	8.513560545	9.806187136	9.711192653	9.665909392	10.06917898
MYO1D	4.716960857	5.512004011	4.304942216	4.008081171	4.334642156	4.077243894	4.291282151	4.093423929	3.971246694	4.214166643	4.161899187	4.131211164	4.091532298	4.347845456	4.39331045	4.081614455	4.319249836	4.127666498	4.1146985	4.195922148	4.07896384	4.228307592	4.08910932	3.949430757	4.014297528	4.399457795	5.336151926	4.383462386	5.843313078	6.077643673	5.34964319	5.782245904	5.639384518	5.555626951	5.894113717	5.953641009	5.535943475	5.099561131	5.739509504	6.240889975	6.075547994	5.575410122	6.313277295	6.251977184	6.14633714	5.609173737	5.618097456	6.158406668	6.274054377	6.710050281	6.439443652	5.617586559
CSGALNACT2	8.684408019	8.621991677	8.015314755	8.438917219	8.223638749	8.142358217	7.91007377	8.12919977	8.461548795	8.28256488	8.655287107	8.371231254	8.526245391	8.505080462	8.378948741	8.362505685	8.381021493	8.675506469	8.810907089	8.7716858	8.688754998	8.411041073	8.354938413	8.391428551	8.261734038	8.419330229	7.759688589	8.43928792	6.595502708	6.709285257	6.40359193	6.351710452	7.265544639	6.053411801	6.717277254	6.222481942	6.526377135	6.71288537	6.971812952	6.055576864	7.357370786	6.302923532	6.336459848	7.484610707	6.271161271	6.836552752	6.749503844	6.570006183	6.58525465	7.221348681	6.785580411	6.126838059
ZFP161	6.186112333	6.375434614	6.79244501	6.924884259	7.06742854	6.527551978	6.576250327	6.869205061	6.916412767	6.921407156	7.001555976	6.872410965	6.878321783	7.036783213	6.996954393	6.627239714	6.753380922	6.603910155	6.702079383	6.674053337	6.697854092	6.610712591	6.672667459	6.636920633	6.677095994	6.795972808	6.617240218	6.577542187	5.762626223	5.756284603	5.94882332	5.875297991	5.505926741	5.500611352	5.414656146	5.595359006	5.490887556	5.419711826	5.806007249	5.8100024	5.555774028	5.739592528	5.59376577	5.373172734	5.783552721	5.569878633	5.666363697	5.500158019	5.630039653	5.49345641	5.717401363	5.714737549
KRT8	5.566430117	6.00888426	5.855537343	5.812891367	5.604413385	5.955825364	5.826090112	5.769831168	5.835033614	5.899094133	5.960705318	6.022805811	5.822671126	5.864770176	5.957359387	5.91562601	6.190170256	6.01192681	6.170439147	6.066314308	6.177094007	5.898350019	5.966617648	5.758979535	5.827660021	5.809532131	5.543722311	6.056628096	8.585216966	8.534497389	7.444138683	8.488573523	7.498315075	8.766964251	8.28850375	8.240180229	8.451397558	7.940620083	8.696069149	8.751302107	8.932097635	7.76580117	8.631753332	8.041629684	8.694954984	8.953449903	8.415034336	8.507878748	8.247117737	7.721720695	8.765774751	7.844980803
MUC1	5.89182164	5.987965275	5.675271889	5.518396713	5.287657428	5.583787016	5.58608408	5.52781637	5.321660071	5.469339258	5.337263344	5.586761751	5.565561565	5.401899987	5.417388643	5.535518688	5.597177269	5.759177325	5.750255265	5.657306247	5.549570029	5.456727698	5.474402949	5.28466256	5.528138795	5.506080636	5.719741202	5.634698124	10.71079765	10.3493676	8.909029567	9.643430407	9.401311373	11.74863704	10.53565923	10.58928361	10.8228002	10.08798785	9.149462698	9.43123445	9.877918547	9.565473869	8.419539683	7.939562538	10.83524695	8.358032938	10.46203639	9.157006441	9.552920273	8.137386771	9.467180674	10.21088892
