IDENTIFIER	GSM1052615	GSM1052616	GSM1052617	GSM1052618	GSM1052619	GSM1052620
ABLIM1	8.20814	8.14756	8.20504	8.49358	8.55852	8.35385
ABLIM2	7.20254	7.5157	7.07298	7.04764	6.98985	7.02806
ABLIM3	8.54309	8.56888	8.76847	8.65619	8.58819	8.96974
ABO	7.6408	7.89767	7.62219	7.48576	7.6088	7.6625
ABR	10.7728	10.7711	10.7197	11.0337	10.9139	10.9178
ABRA	6.69849	6.80293	6.65676	6.40372	6.41074	6.53454
ABRACL	8.87143	8.66923	8.67459	9.13375	9.17725	9.23176
ABT1	9.4423	9.11563	9.25607	8.94281	8.92624	8.81384
ABTB1	7.9211	8.05392	7.89542	8.10981	8.0645	8.1499
ABTB2	8.6864	8.68865	8.80367	7.76631	7.79657	7.75791
ACAA1	8.82127	8.62167	8.79712	8.92637	8.99205	9.10074
ACAA2	8.59153	8.32839	8.55954	8.96631	8.71586	8.91182
ACACA	9.83549	9.76294	9.94947	9.84921	9.77884	9.70862
ACACB	7.91775	7.76169	7.97093	8.83585	8.84536	8.79844
ACAD10	8.4877	8.3827	8.50988	9.28883	9.26014	9.14311
ACAD8	9.67948	9.59313	9.62928	9.78115	9.82721	9.75511
ACAD9	10.6973	10.7378	10.8912	10.7304	10.7383	10.6032
ACADL	5.57609	5.44327	5.47376	5.72341	5.51824	5.57818
ACADM	11.5729	11.4454	11.5034	11.9756	11.9919	11.8254
ACADS	8.41008	8.56126	8.38383	8.96982	8.93977	8.70894
ACADSB	9.16642	8.93788	8.90829	9.72791	9.72126	9.66082
ACADVL	11.3826	11.3178	11.3478	11.8899	11.8879	11.8876
ACAN	7.54737	7.64264	7.55166	8.4675	8.41271	8.40721
ACAP2	9.42074	9.33051	9.38051	9.50098	9.6003	9.2251
ACAP3	8.46911	8.32509	8.26606	8.63195	8.50175	8.6925
ACAT1	10.2988	10.193	10.4435	10.6107	10.7774	10.759
ACBD3	11.7699	11.7243	11.7253	11.8122	11.7661	11.7406
ACBD4	7.67802	7.57714	7.45533	8.19345	8.28939	8.23217
ACBD5	9.59911	9.31438	9.65851	9.58344	9.77307	9.60806
ACBD6	8.61907	8.63795	8.6736	8.82607	9.01568	8.81677
ACBD7	8.13021	7.78146	8.12094	8.08013	7.84588	7.86935
ACCS	7.5409	7.49807	7.57573	8.33109	8.25181	8.41054
ACCSL	5.71916	5.7624	5.60905	5.68831	5.50724	5.5858
ACD	9.60342	9.44575	9.43747	9.05457	8.96267	9.02302
ACE	7.21921	7.30756	7.16567	7.42282	7.27451	7.61003
ACE2	6.53576	6.34556	6.51235	6.9852	6.80814	6.83891
ACER1	6.83522	7.1973	6.82949	6.45708	6.82121	6.79454
ACER2	7.91883	7.80371	7.95954	7.80695	7.71574	7.54461
ACER3	10.5282	10.4419	10.6559	10.2649	10.2726	10.4088
ACHE	6.93218	7.07767	6.92326	6.84078	6.58953	6.80109
ACIN1	10.6827	10.6843	10.7093	10.778	10.7075	10.8076
ACKR1	6.75916	6.91924	6.87896	6.77199	6.70965	6.80539
ACKR2	6.5256	6.53072	6.58394	6.9028	6.70741	6.83342
ACKR3	4.85104	4.92667	4.83183	4.69407	4.83075	4.80839
ACKR4	4.00362	3.98855	4.03126	4.15292	4.36997	4.15768
ACKR4	6.22699	6.17844	6.13994	6.10664	6.35313	6.5541
ACLY	11.8576	11.7846	11.9016	11.7027	11.5838	11.6122
ACMSD	5.52021	5.74189	5.60602	5.44317	5.32857	5.42872
ACN9	7.74406	7.71985	7.83389	7.45833	7.51596	7.7752
ACO1	10.8671	10.7317	10.9095	11.5051	11.4958	11.3976
ACO2	10.175	10.0621	10.1446	10.5582	10.5082	10.3985
ACOT1	8.45622	8.79373	8.31157	8.63712	8.66297	8.11484
ACOT12	5.65216	5.69354	5.74742	5.61244	5.74875	5.69866
ACOT13	10.2596	10.2861	10.1767	10.858	10.8353	11.0252
ACOT2	8.38273	8.25262	8.1696	9.08645	8.90221	8.8637
ACOT4	5.49064	5.40785	5.43499	5.12174	5.23554	5.48713
ACOT6	6.05917	6.19938	5.70886	5.92155	5.65798	6.01233
ACOT7	9.87898	9.77904	9.72782	9.35504	9.16017	9.31465
ACOT8	9.36137	9.26454	9.2829	9.8744	9.71248	9.88738
ACOT9	11.0074	10.9486	10.9695	10.6956	10.6485	10.537
ACOX1	9.54532	9.39474	9.57471	9.9924	9.90054	9.89408
ACOX2	8.02457	7.90943	8.04768	7.34779	7.26803	7.0207
ACOX3	9.5143	9.31136	9.45057	9.92704	9.78618	9.74402
ACOXL	5.48463	5.73777	5.46623	5.41059	5.31494	5.4744
ACP1	11.1157	11.0104	11.0695	10.8904	10.9147	11.1469
ACP2	10.0722	9.97737	9.97834	10.5346	10.444	10.6159
ACP5	8.28661	8.25083	8.02516	8.90745	9.00565	9.01372
ACP6	10.3917	10.3278	10.4074	10.7314	10.6136	10.5704
ACPP	6.63483	6.52903	6.41684	7.2413	7.49839	7.44118
ACPT	7.86544	7.96001	7.85378	7.72221	7.71995	7.75122
ACR	6.97501	6.9813	7.0195	7.02303	6.83399	7.10546
ACR	7.70712	7.62169	7.65163	7.4666	7.43219	7.58924
ACRBP	7.1408	7.26013	7.09598	7.22833	7.17234	7.25198
ACRC	6.09937	6.07464	6.16434	6.12216	6.4402	6.32754
ACRV1	6.08744	6.12822	6.07011	6.19096	6.29004	6.29506
ACSBG1	6.85792	7.00942	6.8865	7.13557	6.92882	7.17847
ACSBG2	5.48908	5.52351	5.57531	5.45752	5.50486	5.43882
ACSF2	8.00119	7.92325	7.92835	9.48434	9.38975	9.53027
ACSF3	8.67503	8.40956	8.61769	8.78461	8.82233	8.94175
ACSL1	9.7815	9.5846	9.76586	10.5064	10.6869	10.5403
ACSL3	11.2459	11.1534	11.4161	10.559	10.5884	10.5667
ACSL4	9.28197	9.0355	9.33788	8.4788	8.54105	8.46018
ACSL5	7.04624	6.93974	7.08587	7.53454	7.36191	7.69621
ACSL6	6.31627	6.40501	6.37087	6.35577	6.33527	6.36463
