FCRL5	gene
CD68	gene
KMO	gene
P2RX5	gene
ATG16L2	gene
BFSP2	gene
IL9RP3	gene
HMOX1	gene
IL34	gene
ZBTB20-AS1	gene
BMF	gene
FGR	gene
C11orf21	gene
AC104809.2	gene
KLRC4-KLRK1	gene
CFP	gene
DOK3	gene
CD300LB	gene
FGD2	gene
PATL2	gene
LINC01537	gene
LY86-AS1	gene
CASP16P	gene
TNFRSF13B	gene
TMEM217	gene
HBA2	gene
AP000476.1	gene
LINC00528	gene
ADAD2	gene
RP11-286H15.1	gene
HIST2H3C	gene
TEX101	gene
TLX1NB	gene
RP11-861A13.3	gene
PARVG	gene
CHI3L1	gene
ITGB2-AS1	gene
P2RX5-TAX1BP3	gene
TRDV1	gene
CH507-513H4.5	gene
RP11-523O18.5	gene
EEF1A1P30	gene
KRT72	gene
BTG1P1	gene
SCIMP	gene
TDGF1	gene
MATK	gene
RP11-148O21.2	gene
NFIA-AS2	gene
MS4A1	gene
RP5-1171I10.5	gene
DEFA4	gene
BANK1	gene
TXK	gene
LILRB1	gene
PZP	gene
NCF1C	gene
NKG7	gene
PRF1	gene
Z84812.4	gene
FCRL1	gene
SOWAHD	gene
AL359753.1	gene
CNR2	gene
PAX5	gene
ABHD17AP5	gene
RP4-753P9.3	gene
RP11-203B7.2	gene
HK3	gene
ADGRE1	gene
RP11-449D8.5	gene
KLRK1	gene
RNU4-62P	gene
DCSTAMP	gene
ZC3H12D	gene
CIITA	gene
RPL7AP10	gene
PTPN6	gene
TRGC1	gene
POU2F2	gene
TSPAN32	gene
LINC00173	gene
CETP	gene
OR5G3	gene
WDFY4	gene
SLC5A10	gene
ARHGAP25	gene
KIR2DL1	gene
CD52	gene
FAM53B-AS1	gene
CD72	gene
AC079767.4	gene
NPY5R	gene
HBB	gene
KCNJ10	gene
IL18RAP	gene
KLRC4	gene
KIAA0922	gene
CD19	gene
TLX1	gene
RASSF4	gene
LILRB5	gene
RP11-433J8.1	gene
ITGAL	gene
TMC8	gene
RP11-147L13.8	gene
EPB42	gene
RP1-29C18.8	gene
RP11-346E8.1	gene
HBA1	gene
RP11-455F5.5	gene
PHOSPHO1	gene
KRT17P8	gene
RP11-876N24.4	gene
CTD-2666L21.2	gene
CCL2	gene
IRF8	gene
CD244	gene
PDE2A	gene
LILRA4	gene
AC004381.7	gene
CD300A	gene
MMP25	gene
RP11-452D12.1	gene
RASGRP3	gene
LINC01125	gene
KRT73	gene
KEL	gene
EOMES	gene
RP11-81H14.1	gene
RP11-693N9.2	gene
KBTBD8	gene
PLEK	gene
LLNLR-470E3.1	gene
KLF1	gene
TRDC	gene
LY86	gene
RP11-20G13.4	gene
IL4I1	gene
SASH3	gene
CD180	gene
RP11-1334A24.6	gene
MIR155HG	gene
ACAP1	gene
PSG9	gene
RP11-118B22.4	gene
BTK	gene
GDPD5	gene
EXOC3L1	gene
VAMP1	gene
PRR33	gene
ANKRD33B	gene
ANGPTL6	gene
MCOLN2	gene
RP11-148O21.4	gene
CYTH4	gene
CTD-2616J11.3	gene
C1QTNF1-AS1	gene
ABI3	gene
MYO1F	gene
C6orf25	gene
LIPA	gene
UNC45B	gene
RP11-25K21.1	gene
ITGAX	gene
PPP1R16B	gene
CDHR1	gene
COL4A3	gene
BTLA	gene
AMTN	gene
FCAMR	gene
KRT75	gene
FABP4	gene
IKZF3	gene
TNFRSF13C	gene
P2RY13	gene
RP5-887A10.1	gene
RP11-713N11.6	gene
