geneNames	GSM2229013	GSM2229014	GSM2229015	GSM2229016	GSM2229017	GSM2229018	GSM2229019	GSM2229020
Tet1	7.280214	7.610084	7.61274266666667	7.045732	7.53547966666667	8.25160333333333	8.35793166666667	8.202551
Tet2	9.571231	9.824087	9.818044	9.60884	9.463139	9.627756	9.48974	9.415583
Tet3	10.226248	10.167489	9.888095	9.694706	9.7592165	9.9100155	9.9695335	9.9535835
Tex10	9.732438	9.847005	9.704993	9.621847	9.617691	9.588892	9.3819	9.341995
Tex101	5.903894	5.604021	5.567298	5.858569	5.681954	5.696404	5.814026	5.761713
Tex11	4.906454	4.922394	4.881743	4.958503	4.887121	4.912754	4.909667	5.008081
Tex12	4.70802	4.640497	4.724538	4.910637	4.689648	4.683948	4.724987	4.725697
Tex13	5.164825	5.205779	5.216969	5.321717	5.190597	5.218342	5.318031	5.248989
Tex13a	5.808541	5.815574	5.647626	5.706877	5.89873	5.766482	5.781981	5.726516
Tex14	6.608316	6.467333	6.591348	6.533305	6.441349	6.248915	6.526945	6.509475
Tex15	5.254177	5.316796	5.128152	5.167181	5.141778	5.127573	5.109276	5.181704
Tex16	4.68576	4.710357	4.641131	4.747174	4.74152	4.72916	4.66048	4.720872
Tex18	4.833578	4.848025	4.799108	4.855407	4.79421	4.814252	4.823277	4.780169
Tex19.1	6.605129	6.671347	6.555014	6.710194	6.607998	6.498752	6.683454	6.782168
Tex19.2	6.340409	6.227351	6.051584	6.467576	6.210246	6.16591	6.32908	6.200946
Tex2	9.146706	9.431681	9.791905	9.548908	10.01147	9.728127	9.627848	9.5797
Tex21	5.331122	5.270262	5.223569	5.336029	5.182054	5.134129	5.269189	5.261831
Tex22	7.332474	7.079573	6.966992	7.353073	6.92812	7.016177	7.010649	7.151714
Tex24	5.562774	5.086128	5.177144	5.530364	5.426775	5.353449	5.585174	5.471638
Tex26	5.540049	5.53129	5.452806	5.539721	5.497652	5.374273	5.649703	5.465915
Tex261	9.865737	9.981169	10.42416	10.38746	10.48524	10.45254	10.55349	10.66184
Tex264	10.84866	10.90402	11.16936	10.94816	11.26177	10.61281	10.7542	10.92937
Tex28	5.604815	5.628514	5.578282	5.617783	5.62152	5.695731	5.581927	5.614935
Tex29	6.685164	6.40178	6.321461	6.634948	6.506398	6.559646	6.519041	6.666789
Tex30	8.148472	8.443718	8.348735	8.185098	8.361737	8.159254	7.992772	7.558071
Tex33	6.155415	6.017581	6.009741	6.199075	6.089252	6.034393	6.074309	6.091226
Tex35	6.432667	6.248474	6.551288	6.324198	6.218352	6.031316	6.153073	6.216634
Tex36	4.826717	4.861677	4.876693	4.801984	4.809289	4.854088	4.88082	4.806341
Tex37	6.087899	5.996521	5.904947	6.061793	6.066964	5.982656	6.200826	6.019468
Tex38	6.266838	5.832895	5.626189	5.701919	5.775669	5.717108	5.952507	5.862015
Tex40	7.276528	7.319521	6.986874	6.925858	7.123163	6.675916	6.635174	6.721891
Tex43	7.05072	6.829746	6.980718	7.225121	6.987367	6.867185	6.992072	6.929337
Tex9	7.499681	7.5907	7.418517	7.032609	7.357621	7.328433	7.13339	7.178027
Tfam	7.235091	7.718845	7.727124	6.936173	7.3864	7.443799	7.389623	7.234247
Tfap2a	10.9003	10.99507	10.65913	10.21551	10.4823	10.17287	9.99442	9.932233
Tfap2b	9.876063	10.38	10.03773	8.894711	9.182552	10.40227	10.4374	10.40951
Tfap2c	9.198144	9.04512	8.872907	9.0198	9.215964	8.776336	8.673731	8.455382
Tfap2d	5.801685	5.63136	5.43014	5.722362	5.563855	5.443016	5.638996	5.578164
Tfap2e	8.072776	7.944756	8.054945	7.964184	8.15595	8.126649	8.186272	8.298717
Tfap4	8.562945	8.439384	8.379667	8.562849	8.38794	8.45475	8.473776	8.374217
Tfb1m	8.341941	8.80677	8.458058	7.8026765	7.809981	8.493184	8.2755055	8.2164755
Tfb2m	9.0296205	9.487894	9.423056	9.1895835	9.339082	9.5916795	9.38506	9.3163685
Tfcp2	8.3209	8.330482	8.134369	8.051125	8.065319	8.442466	8.412316	8.394567
Tfcp2l1	7.710098	7.489196	7.330056	7.089324	7.314405	7.21969	7.608613	7.219712
