ID_REF	GSM2229013	GSM2229014	GSM2229015	GSM2229016	GSM2229017	GSM2229018	GSM2229019	GSM2229020
10338998	8.763794	8.409996	8.399129	8.762514	8.66923	8.402725	8.546709	8.887769
10338999	7.862252	8.180438	8.138002	6.606627	7.980435	8.52774	8.481257	8.160896
10339000	5.356991	5.572445	5.444982	5.132956	5.170591	5.468917	5.273191	5.642717
10339001	7.765499	8.598392	8.448166	7.33599	8.008281	8.037664	7.97855	7.882926
10339002	6.032089	6.199343	5.783545	5.965244	6.241532	6.141836	6.166404	6.499936
10339003	6.855983	7.424819	7.121157	6.890181	7.010603	7.000819	6.720738	6.756
10339004	7.615004	7.349	7.415479	7.273123	7.512404	7.574944	7.700875	7.646082
10339005	6.855825	6.616281	6.93743	6.971132	6.530319	6.566514	6.492643	6.667475
10339006	5.011328	5.195033	4.81237	4.672081	4.666212	4.922634	4.856156	4.843347
10339007	7.425936	7.487486	7.560105	6.707825	7.388437	8.243779	7.711893	7.387872
10339008	5.280598	5.320139	5.88062	5.95963	6.394658	5.567401	5.568601	5.629004
10339009	6.670158	6.519658	6.781831	6.43109	6.286635	6.486948	5.975813	6.071752
10339010	5.138586	4.957353	5.082417	4.701419	5.276812	5.11062	5.185585	5.00315
10339011	5.372505	6.050018	6.472675	5.380745	6.29154	6.469513	6.295142	5.665595
10339012	4.873015	5.328362	5.298847	5.162721	5.117066	5.147519	5.268881	4.936973
10339013	6.274008	6.517954	6.814024	5.94991	6.256829	6.465671	6.723435	6.35418
10339014	6.090158	6.590857	6.857385	6.939635	6.16377	6.389729	6.167338	5.925399
10339015	5.547704	5.580673	5.885976	6.436288	5.534196	5.823761	5.343491	5.682927
10339016	4.328526	4.359216	4.392296	4.547536	4.233485	4.360604	4.330061	4.377124
10339017	6.650156	6.36508	6.529628	6.309097	6.645592	6.758174	6.434752	6.711069
